absolvovat	vec00601
hodit se	vec00821
hodit se	vec00960
hodnotit	vec00159
holedbat se	vec00418
honit	vec00687
hospitalizovat	vec01024
hospodařit	vec00277
hostit	vec00822
houpat se	vec00626
hovořit	vec00031
hovořit	vec00435
hradit	vec00125
hrnout se	vec00610
hrnout se	vec00747
hromadit	vec00443
hroutit se	vec00599
hrozit	vec00416
hrozit	vec00477
hrát	vec00222
hrát	vec00415
hrát	vec00611
hrát	vec00823
hrát si	vec00824
hrávat	vec00415
hádat	vec00093
hájit	vec00244
hájit se	vec00024
házet	vec00819
hýbat se	vec00626
identifikovat	vec00909
ignorovat	vec00460
ilustrovat	vec00330
implantovat	vec01027
indikovat	vec00141
infikovat	vec00635
informovat	vec00060
iniciovat	vec00038
inkasovat	vec00189
inscenovat	vec00611
inspirovat	vec00080
instalovat	vec00440
instruovat	vec00827
integrovat	vec00723
interpretovat	vec00402
investovat	vec00147
inzerovat	vec01028
izolovat	vec00024
izolovat	vec00047
jednat	vec00162
jednat	vec00225
jednat se	vec00226
jet	vec00026
jet	vec00403
jevit se	vec00164
jezdit	vec00026
jezdit	vec00403
jezdívat	vec00403
ječet	vec00426
jistit	vec00260
jmenovat	vec00228
jmenovat	vec01029
jmenovat se	vec00043
jásat	vec00135
jíst	vec00828
jít	vec00027
jít	vec00153
jít	vec00218
jít	vec00226
jít	vec00227
jít	vec00403
jít	vec00516
jít	vec00618
jít	vec00619
kandidovat	vec00423
kapitalizovat	vec01030
kapitulovat	vec00739
karikovat	vec01031
katapultovat	vec01032
kazit	vec00389
klamat	vec00589
klasifikovat	vec00296
klasifikovat	vec00916
klepat	vec01035
klesat	vec00028
klesnout	vec00028
klopýtat	vec00622
klábosit	vec00031
klást	vec00382
klást	vec00384
klást	vec00812
klást	vec01034
koketovat	vec00817
kolaborovat	vec00319
kolovat	vec00017
kolísat	vec00626
kombinovat	vec00623
komentovat	vec00161
kompenzovat	vec00356
komunikovat	vec00031
konat se	vec00097
koncipovat	vec00040
konfiskovat	vec00569
konfrontovat	vec01036
konkurovat	vec00121
konstatovat	vec00060
konstruovat	vec00084
kontaktovat	vec00057
kontrastovat	vec00829
kontrolovat	vec00302
kontrovat	vec00844
konvertovat	vec00095
končit	vec00113
končit	vec00213
končit	vec00741
koordinovat	vec00425
kopírovat	vec01109
kormidlovat	vec01037
kotovat	vec00322
koukat	vec00869
koupit	vec00035
kousnout	vec01038
kouřit	vec00830
kritizovat	vec00230
krmit	vec00624
krotit	vec00783
kroutit	vec00991
kroužit	vec00831
krvácet	vec00625
krást	vec00704
kráčet	vec00227
kráčet	vec01025
krýt	vec00125
krýt	vec00260
krýt	vec00514
kupovat	vec00035
kvést	vec00510
kymácet se	vec00626
kárat	vec00620
kázat	vec00621
kótovat	vec00322
křičet	vec00426
lehnout si	vec00629
letět	vec00427
ležet	vec00317
lhát	vec00832
liberalizovat	vec00545
likvidovat	vec00389
litovat	vec00428
lišit se	vec00829
lobbovat	vec00272
lobovat	vec00272
lokalizovat	vec00735
lpět	vec01040
lyžovat	vec01041
lákat	vec00286
lámat	vec00029
lámat si	vec00149
létat	vec00427
léčit	vec00628
léčit	vec00664
líbit se	vec00231
lít	vec00147
líčit	vec00417
manipulovat	vec00254
maskovat	vec00514
maximalizovat	vec00834
mačkat se	vec00833
mařit	vec00174
milovat	vec00432
minimalizovat	vec00433
mizet	vec00755
mluvit	vec00031
mluvit	vec00435
množit se	vec00836
mobilizovat	vec00485
modernizovat	vec00436
modifikovat	vec00095
monitorovat	vec00115
montovat	vec00084
motivovat	vec00098
motivovat	vec00837
mračit se	vec01043
mrknout	vec00838
mrzet	vec00428
myslet	vec00032
myslet	vec01044
myslet si	vec00032
mávat	vec00631
míchat	vec00623
mínit	vec00032
mínit	vec00256
mínit	vec00771
mírnit	vec00545
mít	vec00191
mít	vec00196
mít	vec00256
mít se	vec00153
mívat	vec00432
mířit	vec00434
mířit	vec00516
mířit	vec00835
mýlit se	vec00839
mýt	vec00840
měnit	vec00030
měnit	vec00095
měnit	vec00429
měnit se	vec00430
měnit se	vec01132
měřit	vec00431
nabídnout	vec00033
nabízet	vec00033
nabýt	vec00586
nabývat	vec00586
nacházet	vec00233
nacházet se	vec00308
nacházet se	vec00439
nacpat	vec00841
nadcenit	vec00634
nadejít	vec00097
nadnášet	vec00568
nadnést	vec00568
nadsadit	vec00634
nadsazovat	vec00634
nadskočit	vec01113
nadávat	vec00633
nadělat	vec00196
nafouknout	vec00298
nahlašovat	vec00060
nahlodat	vec00265
nahlásit	vec00060
nahlížet	vec00402
nahradit	vec00429
nahradit	vec00565
nahrazovat	vec00429
nahrazovat	vec00565
nahrát	vec00640
nahrávat	vec00640
nainstalovat	vec00440
najmout	vec00369
najímat	vec00369
najít	vec00233
nakazit se	vec00636
naklonit se	vec00637
naklánět se	vec00637
nakoupit	vec00035
nakupovat	vec00035
naleznout	vec00233
nalákat	vec00286
naléhat	vec00272
nalévat	vec00147
nalézat	vec00233
nalézt	vec00233
nalít	vec00147
nalíčit	vec00638
namalovat	vec00638
namixovat	vec00623
namítat	vec00844
namítnout	vec00844
napadat	vec00441
napadnout	vec00441
napichovat	vec00735
naplnit	vec00540
naplnit	vec00577
naplánovat	vec00256
naplňovat	vec00316
naplňovat	vec00577
napodobit	vec01109
napodobovat	vec01109
napomoci	vec00069
napomoci	vec00475
napomáhat	vec00069
napomáhat	vec00475
napravit	vec00356
napravovat	vec00356
naprogramovat	vec01046
napsat	vec00037
napsat	vec00060
napáchat	vec00196
narazit	vec00639
narodit se	vec00442
narůst	vec00109
narůstat	vec00109
nasbírat	vec00443
nashromáždit	vec00443
naskočit	vec00845
naslouchat	vec00445
nasměrovat	vec00859
nasměrovávat	vec00859
nastartovat	vec00038
nastat	vec00097
nastavit	vec00322
nastavit	vec00440
nastavovat	vec00127
nastiňovat	vec00330
nastolovat	vec00546
nastoupit	vec00239
nastupovat	vec00239
nastupovat	vec00565
nastávat	vec00097
nastínit	vec00330
natlačit se	vec00833
natočit	vec00640
natáčet	vec00640
naučit	vec00531
naučit se	vec00013
navodit	vec00196
navozovat	vec00196
navracet se	vec00744
navrhnout	vec00039
navrhnout	vec00040
navrhovat	vec00039
navrhovat	vec00040
navrátit	vec00745
navrátit se	vec00744
navyšovat	vec00298
navýšit	vec00298
navštívit	vec00042
navštěvovat	vec00042
naznačit	vec00994
naznačovat	vec00994
nazvat	vec00043
nazývat	vec00043
nazývat se	vec00043
nařizovat	vec01013
nařknout	vec00347
nařídit	vec01013
nechat	vec00012
nechat	vec00072
nechat	vec00074
nechat	vec00198
nechat	vec00575
nechávat	vec00012
nechávat	vec00072
nechávat	vec00575
nenávidět	vec00641
ničit	vec00389
nosit	vec00241
nosit	vec00242
nosívat	vec00242
nutit	vec01013
následovat	vec00303
následovat	vec00444
nést	vec00241
obchodovat	vec00046
obcházet	vec00045
obdarovat	vec00695
obdarovávat	vec00695
obdivovat	vec01048
obdržet	vec00189
obehnat	vec00643
obejít	vec00045
obejít se	vec00642
obestírat	vec00643
obestřít	vec00643
obeznámit	vec00846
obhajovat	vec00244
obhospodařit	vec00277
obhospodařovat	vec00277
obhájit	vec00244
objasnit	vec00450
objasňovat	vec00450
objednat	vec00451
objednávat	vec00451
objevit	vec00233
objevit se	vec00245
objevit se	vec00978
objevovat	vec00233
objevovat se	vec00245
obklopit	vec00643
obklopovat	vec00643
obléhat	vec01049
oblékat	vec01050
obměňovat	vec00429
obnovit	vec00246
obnovovat	vec00246
obnášet	vec00194
obnášet	vec00206
obohacovat	vec01052
obohatit	vec01052
obracet	vec00095
obracet	vec00859
obracet se	vec00057
obracet se	vec00645
obrátit	vec00095
obrátit	vec00859
obrátit	vec01053
obrátit se	vec00057
obrátit se	vec00645
obsadit	vec00577
obsadit	vec00646
obsadit	vec00916
obsahovat	vec00366
obsazovat	vec00646
obsloužit	vec00515
obsluhovat	vec00515
obstarávat	vec00178
obstavit	vec00569
obsáhnout	vec00366
obtěžovat se	vec01054
obvinit	vec00347
obviňovat	vec00347
obávat se	vec00243
obědvat	vec00828
obětovat	vec00449
obžalovat	vec00347
ocenit	vec00322
ocenit	vec00675
oceňovat	vec00322
ochabnout	vec00793
ochabovat	vec00793
ochraňovat	vec00024
ochromit	vec00656
ochránit	vec00024
ochudit	vec01187
ochutnat	vec00058
ocitnout se	vec00439
odchylovat se	vec00849
odcházet	vec00048
odchýlit se	vec00849
odcizit	vec00704
oddalovat	vec00486
oddálit	vec00486
oddělit	vec00047
oddělit se	vec00905
oddělovat	vec00047
oddělovat se	vec00905
odebrat	vec00648
odebrat	vec00704
odehnat	vec00848
odehrát se	vec00097
odehrávat se	vec00097
odejmout	vec00704
odejít	vec00048
odejít	vec00811
odepsat	vec00453
odepřít	vec00050
odeslat	vec00209
odeznít	vec00113
odečíst	vec00649
odečítat	vec00649
odfrknout si	vec01056
odhadnout	vec00093
odhadnout	vec00159
odhadnout	vec00322
odhadovat	vec00093
odhadovat	vec00159
odhadovat	vec00322
odhalit	vec00909
odhalovat	vec00909
odhazovat	vec00819
odhlasovat	vec00020
odhodit	vec00555
odjet	vec00048
odklonit	vec00049
odklonit	vec00283
odkládat	vec00486
odkládat	vec00850
odklánět	vec00283
odkoupit	vec00035
odkupovat	vec00035
odletět	vec00427
odlišit	vec01102
odlišit se	vec00650
odlišovat	vec01102
odlišovat se	vec00650
odložit	vec00486
odmítat	vec00050
odmítnout	vec00050
odnášet	vec00283
odnést	vec00283
odolat	vec00279
odolávat	vec00279
odpojit	vec00652
odporovat	vec00852
odpouštět	vec01058
odpovídat	vec00102
odpovídat	vec00250
odpovědět	vec00102
odpočítávat	vec00649
odprodat	vec00083
odprodávat	vec00083
odpustit	vec01058
odpykat si	vec01059
odpykávat si	vec01059
odpírat	vec00050
odradit	vec00251
odrazit	vec00141
odrazit	vec00456
odrazit se	vec00141
odrazit se	vec00653
odrazovat	vec00251
odročit	vec00486
odrážet	vec00141
odrážet se	vec00141
odrážet se	vec00653
odsednout si	vec00705
odseknout	vec01060
odsoudit	vec00230
odsouhlasit	vec00078
odsouvat	vec00486
odstartovat	vec00038
odstartovat	vec00097
odstavit	vec00923
odstoupit	vec00113
odstoupit	vec00942
odstoupit	vec01140
odstranit	vec00962
odstraňovat	vec00923
odstrašit	vec00251
odstrašovat	vec00761
odstupovat	vec01140
odstěhovat se	vec00048
odsunout	vec00321
odsunout	vec00486
odsuzovat	vec00230
odumřít	vec00755
odvažovat se	vec01061
odvodit	vec00855
odvolat	vec00198
odvolat	vec00555
odvolat se	vec00457
odvolávat se	vec00457
odvozovat	vec00855
odvracet	vec00174
odvrátit	vec00174
odvysílat	vec00358
odvádět	vec00854
odvážet	vec00172
odvážit se	vec01061
odvést	vec00854
odčerpat	vec00847
odčerpávat	vec00847
odčítat	vec00649
odříznout	vec00047
ohlašovat	vec00060
ohlásit	vec00060
ohodnocovat	vec00322
ohodnotit	vec00322
ohodnotit	vec00916
ohradit se	vec00461
ohraničit	vec00053
ohraničovat	vec00053
ohrazovat se	vec00461
ohrnovat	vec01062
ohromit	vec00094
ohrozit	vec00252
ohrožovat	vec00252
ohánět se	vec00418
oklestit	vec00588
okrádat	vec00657
okrást	vec00657
okupovat	vec00646
omezit	vec00118
omezovat	vec00118
omluvit	vec00658
opadat	vec00467
opadnout	vec00793
opadávat	vec00113
opakovat	vec00458
operovat	vec00054
operovat	vec00221
oplodnit	vec00660
oplývat	vec00857
opomenout	vec00460
opomíjet	vec00460
oponovat	vec00461
opouštět	vec00048
opovrhovat	vec01063
opozdit	vec00486
opozdit se	vec00370
opožďovat se	vec00370
opravit	vec00095
opravit	vec00462
opravovat	vec00462
opravňovat	vec00012
oprostit	vec00595
oprávnit	vec00012
opustit	vec00048
opustit	vec00942
opylovat	vec00660
opírat se	vec00520
opětovat	vec00659
opřít se	vec00520
orazítkovat	vec00858
organizovat	vec00502
orientovat	vec00859
orientovat se	vec00115
oslabit	vec00028
oslabit	vec00055
oslabit	vec00118
oslabit	vec00463
oslabovat	vec00055
oslabovat	vec00463
oslavit	vec00663
oslavovat	vec00663
oslovit	vec00043
oslovit	vec00057
oslovit	vec00188
oslovovat	vec00043
ospravedlnit	vec00464
ospravedlňovat	vec00464
osvobodit	vec00595
osvobozovat	vec00595
oteplovat se	vec01064
otestovat	vec00058
otevírat	vec00059
otevírat	vec00465
otevírat	vec00861
otevřít	vec00059
otevřít	vec00465
otevřít	vec00861
otevřít se	vec00862
otisknout	vec00060
otiskovat	vec00060
otočit	vec01197
otravovat	vec01183
otrávit	vec01183
otupovat	vec00055
otřepávat se	vec00390
otřásat	vec00466
otřásat se	vec00937
otřást	vec00466
otřást se	vec00937
ovlivnit	vec00254
ovlivňovat	vec00254
ovládat	vec00302
ovládnout	vec00302
ovládnout	vec01065
ověřit	vec00090
ověřovat	vec00090
oznamovat	vec00060
označit	vec00127
označit	vec00417
označovat	vec00127
označovat	vec00417
oznámit	vec00060
očekávat	vec00002
očekávat	vec00003
očesat	vec00712
očistit	vec00552
očistit	vec00595
očišťovat	vec00595
ošetřit	vec00301
ošetřit	vec00664
ošetřovat	vec00664
ošálit	vec00860
oženit se	vec00863
oživit	vec00038
oživit	vec00246
oživovat	vec00246
pachtit se	vec00273
padat	vec00028
padat	vec00467
padnout	vec00599
pamatovat	vec00364
pamatovat si	vec00364
panikařit	vec00864
panovat	vec00017
paralyzovat	vec00656
patřit	vec00348
patřit	vec00865
pelášit	vec00048
pitvořit se	vec00145
plakat	vec00867
platit	vec00125
platit	vec00469
platívat	vec00125
plavat	vec01069
plazit se	vec00665
plnit	vec00316
plnit	vec00577
plout	vec00063
plácnout	vec01068
plánovat	vec00256
plést se	vec00775
plést si	vec01170
plížit se	vec00665
plýtvat	vec00886
pobavit	vec01070
pobodat	vec00365
pobouřit	vec00667
pobuřovat	vec00667
pobídnout	vec00361
pobízet	vec00361
pochlubit se	vec00418
pochodit	vec00309
pochodovat	vec01025
pochopit	vec00107
pochválit	vec00675
pochybit	vec00839
pochybovat	vec00391
pocházet	vec00005
pocházet	vec00071
pocházet	vec00258
pociťovat	vec00470
pocítit	vec00470
podat	vec00033
podat	vec00272
podat	vec00557
podařit se	vec00257
podcenit	vec00801
podceňovat	vec00801
podepisovat	vec00078
podepsat	vec00078
podepřít	vec00069
podhodnocovat	vec00472
podhodnotit	vec00472
podlehnout	vec00870
podlehnout	vec01071
podlézat	vec00668
podnikat	vec01188
podniknout	vec01188
podnítit	vec00038
podněcovat	vec00038
podněcovat	vec00098
podobat se	vec00141
podotknout	vec00994
podotýkat	vec00994
podpisovat	vec00078
podplatit	vec01072
podplácet	vec01072
podporovat	vec00069
podporovat	vec00475
podpořit	vec00069
podpořit	vec00475
podrobit	vec00564
podrobovat	vec00564
podrývat	vec00372
podržet	vec00176
podržet	vec00475
podstupovat	vec00379
podtrhnout	vec00382
podtrhovat	vec00382
podvolit se	vec00739
podvádět	vec00671
podvést	vec00671
podávat	vec00039
podávat	vec00557
podílet se	vec00067
podívat se	vec00310
podívat se	vec00869
poděkovat	vec00065
podělit se	vec00304
podřizovat	vec00669
podřizovat se	vec00739
podřídit	vec00669
podřídit se	vec00739
pohlcovat	vec00476
pohltit	vec00476
pohlížet	vec00402
pohnout se	vec00022
pohrdat	vec00674
pohrozit	vec00477
pohrávat si	vec00817
pohybovat se	vec00022
pohybovat se	vec00070
pohánět	vec00361
pohřešovat	vec01073
pojistit	vec00260
pojišťovat	vec00260
pojmenovat	vec00043
pojmout	vec00366
pojmout	vec00402
pojímat	vec00402
pokazit	vec00372
poklesnout	vec00028
pokládat	vec00384
pokládat	vec00402
pokoušet se	vec00117
pokořit	vec00279
pokračovat	vec00198
pokračovat	vec00261
pokračovat	vec00676
pokrýt	vec00872
pokrývat	vec00366
pokrývat	vec00872
pokusit se	vec00117
pokutovat	vec00478
pokárat	vec00620
polekat se	vec00761
polevit	vec00028
polevit	vec00793
polevovat	vec00793
položit	vec00384
položit	vec00735
polykat	vec00476
polykat	vec01074
pominout	vec00873
pomoci	vec00475
pomyslet	vec00149
pomyslet si	vec00032
pomáhat	vec00475
pomíjet	vec00460
pomíjet	vec00873
pomýšlet	vec00149
poměřovat	vec00431
ponechat	vec00012
ponechat	vec00072
ponechat	vec00575
ponechávat	vec00072
ponořit se	vec00090
poohlédnout se	vec00021
poohlížet se	vec00021
popadat	vec00677
popadnout	vec00677
popisovat	vec00417
popohnat	vec00337
popojít	vec01025
popouzet	vec00608
popovídat si	vec00031
popraskat	vec00681
popravit	vec00365
popsat	vec00417
poptávat	vec00077
popudit	vec00608
popuzovat	vec00608
popíjet	vec00866
popírat	vec00050
popřít	vec00050
poradit	vec00215
porazit	vec00279
porovnat	vec00480
porovnávat	vec00480
porozhlížet se	vec00021
porozumět	vec00107
porušit	vec00265
porušovat	vec00265
porážet	vec00279
posadit	vec00735
posadit se	vec00705
posilovat	vec00109
posilovat	vec00539
poskočit	vec00109
poskytnout	vec00074
poskytnout	vec00178
poskytovat	vec00074
poskytovat	vec00178
poskytovat	vec00515
poslat	vec00209
poslechnout si	vec00445
poslouchat	vec00445
posloužit	vec00515
posmívat se	vec00760
posoudit	vec00149
posouvat	vec00283
posouvat	vec00486
posouvat se	vec00022
pospíchat	vec00610
pospíšit si	vec00722
postarat se	vec00178
postavit	vec00075
postavit	vec00084
postavit	vec00526
postavit	vec00735
postavit	vec00812
postavit	vec01118
postavit se	vec00205
postavit se	vec00373
postavit se	vec00461
postavit se	vec00678
postihnout	vec00372
postihovat	vec00372
postoupit	vec00109
postoupit	vec01087
postrádat	vec00419
postrádat	vec00483
postrčit	vec00361
postupovat	vec00022
postupovat	vec00225
postupovat	vec01087
postěžovat si	vec00132
postřehnout	vec00082
posunout	vec00283
posunout	vec00486
posunovat se	vec00022
posuzovat	vec00402
posvítit si	vec00090
posílat	vec00209
posílit	vec00109
posílit	vec00298
posílit	vec00539
potit se	vec00679
potkat	vec00372
potkat se	vec00307
potlačit	vec00815
potlačovat	vec00815
potrestat	vec00484
potulovat se	vec00403
potvrdit	vec00078
potvrdit	vec01076
potvrzovat	vec00078
potácet se	vec00875
potírat	vec00174
potýkat se	vec00205
potěšit	vec00231
potřebovat	vec00077
potřebovat	vec00270
poukazovat	vec00332
poukázat	vec00332
poučit	vec00531
poučit se	vec00013
poučovat	vec00531
použít	vec00079
používat	vec00079
považovat	vec00402
povolat	vec00485
povolit	vec00012
povolovat	vec00012
povolávat	vec00485
povyrůst	vec00109
povzbudit	vec00080
povzbuzovat	vec00080
povídat	vec00060
povídat si	vec00031
povědět	vec00060
pověřit	vec00571
pověřovat	vec00571
povšimnout si	vec00154
pozastavit	vec00486
pozastavovat	vec00486
pozdržet	vec00486
pozměnit	vec00095
pozměňovat	vec00095
poznamenat	vec00372
poznamenat	vec00994
poznamenávat	vec00372
poznamenávat	vec00994
poznat	vec00876
pozorovat	vec00082
pozorovat	vec00115
pozvat	vec00487
pozvednout	vec00069
pozřít	vec00828
počkat	vec00003
počítat	vec00166
počítat	vec00520
pořizovat	vec00035
pořizovat	vec00084
pořádat	vec01188
pořídit	vec00035
pořídit	vec00084
pořídit	vec00153
poškodit	vec00372
poškozovat	vec00372
požadovat	vec00272
požádat	vec00272
pracovat	vec00273
pracovat	vec00373
prahnout	vec00877
pramenit	vec00258
pranýřovat	vec00230
praskat	vec00681
prasknout	vec00681
pravit	vec00060
prchat	vec00146
prchnout	vec00146
preferovat	vec00334
prezentovat	vec00330
privatizovat	vec00683
probrat	vec00031
probrat	vec00879
probrat se	vec00879
probrat se	vec00880
probudit se	vec00880
probíhat	vec00261
probírat	vec00031
probírat	vec00879
proběhnout	vec00097
procházet	vec00379
procházet	vec00684
prodat	vec00083
prodiskutovat	vec00031
prodiskutovávat	vec00031
prodloužit	vec00274
prodlužovat	vec00274
produkovat	vec00084
prodávat	vec00083
prodělat	vec00379
prodělat	vec01193
prodělávat	vec00379
prodělávat	vec01193
profitovat	vec00169
prohlašovat	vec00060
prohlašovat	vec00488
prohledávat	vec00684
prohloubit	vec00785
prohlubovat	vec00785
prohlásit	vec00060
prohlásit	vec00488
prohlédnout si	vec00869
prohnat se	vec00881
prohnout se	vec00993
prohrát	vec00275
prohrávat	vec00275
projednat	vec00162
projednávat	vec00162
projet	vec00882
projevit	vec00243
projevit	vec00354
projevit se	vec00086
projevit se	vec00164
projevit se	vec00883
projevovat	vec00354
projevovat se	vec00086
projevovat se	vec00164
projevovat se	vec00883
projít	vec00379
projít	vec00684
projít	vec00686
projíždět	vec00882
prokazovat	vec00087
proklestit	vec00884
prokázat	vec00087
prolomit	vec00885
promarnit	vec00886
prominout	vec01058
promluvit	vec00031
promluvit si	vec00031
promrhat	vec00886
promrhávat	vec00886
promyslet	vec01081
promíchat	vec00623
promíjet	vec01058
promítat se	vec01080
promítnout se	vec01080
promýšlet	vec01081
proměnit	vec00095
proměnit se	vec01132
proměňovat	vec00095
proměňovat se	vec01132
pronajmout	vec00490
pronajmout	vec01082
pronajímat	vec00490
pronajímat	vec01082
pronikat	vec00218
proniknout	vec00218
pronásledovat	vec00687
pronést	vec00060
propadat	vec00599
propadat se	vec00028
propadnout	vec00028
propadnout	vec00599
propadnout se	vec00028
propagovat	vec00276
proplést	vec00723
propojit	vec00519
propojit	vec00723
propojovat	vec00519
propouštět	vec00555
propustit	vec00555
prorazit	vec00688
prorazit	vec00888
prorokovat	vec00093
prosadit	vec00743
prosadit se	vec00689
prosazovat	vec00743
prosperovat	vec00510
prostudovat	vec00090
prostudovávat	vec00090
protahovat	vec00274
protestovat	vec00461
protlačit	vec00546
protlačovat	vec00546
protrpět	vec00491
